Fecha,Hora,Clase de Vuelo,Clasificación Vuelo,Tipo de Movimiento,Origen OACI,Destino OACI,Aerolinea Nombre,Aeronave
01/01/2021,0,Regular,Internacional,Aterrizaje,MPTO,SAEZ,Copa Airlines,BOEING B-737
01/01/2021,2,Regular,Internacional,Despegue,SAEZ,MPTO,Copa Airlines,BOEING B-737
01/01/2021,3,Regular,Internacional,Aterrizaje,SBGR,SAEZ,Qatar Airways,BOEING B-777
01/01/2021,4,Regular,Cabotaje,Despegue,SAEZ,SAWC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,5,Regular,Internacional,Despegue,SAEZ,SEQM,Qatar Airways,BOEING B-777
01/01/2021,5,Regular,Cabotaje,Despegue,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,5,Regular,Cabotaje,Despegue,SAEZ,SAWH,Aerolíneas Argentinas,BOEING B-737
01/01/2021,5,Regular,Cabotaje,Despegue,SAEZ,SASJ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,5,Regular,Internacional,Aterrizaje,SCEL,SAEZ,Qatar Airways,BOEING B-777
01/01/2021,5,Regular,Internacional,Aterrizaje,SKBO,SAEZ,Avianca,AIRBUS A-320
01/01/2021,6,Regular,Internacional,Aterrizaje,LSZH,SAEZ,Swiss International Air Lines,BOEING B-737
01/01/2021,6,Regular,Cabotaje,Despegue,SAEZ,SAZN,Aerolíneas Argentinas,BOEING B-737
01/01/2021,6,Regular,Cabotaje,Despegue,SAEZ,SAZS,Flybondi,BOEING B-737
01/01/2021,6,Regular,Cabotaje,Despegue,SAEZ,SAWH,Aerolíneas Argentinas,BOEING B-737
01/01/2021,6,Regular,Internacional,Despegue,SAEZ,SCEL,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,7,Regular,Internacional,Aterrizaje,EHAM,SAEZ,KLM,BOEING B-777
01/01/2021,7,Regular,Internacional,Despegue,SAEZ,SKBO,Avianca,AIRBUS A-320
01/01/2021,7,Regular,Cabotaje,Aterrizaje,SAEZ,SAZN,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Despegue,SAEZ,SAME,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Despegue,SAEZ,SASA,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Aterrizaje,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Aterrizaje,SAEZ,SAWC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Despegue,SAEZ,SAVC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Despegue,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,7,Regular,Cabotaje,Despegue,SAEZ,SANT,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,8,Regular,Cabotaje,Aterrizaje,SAEZ,SASA,Aerolíneas Argentinas,BOEING B-737
01/01/2021,8,Regular,Cabotaje,Despegue,SAEZ,SAWC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,8,Regular,Internacional,Despegue,SAEZ,KDFW,Qatar Airways,BOEING B-777
01/01/2021,8,Regular,Cabotaje,Aterrizaje,SAEZ,SAZS,Flybondi,BOEING B-737
01/01/2021,8,Regular,Cabotaje,Despegue,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,8,Regular,Internacional,Despegue,SAEZ,SBGR,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,8,Regular,Cabotaje,Despegue,SAWC,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,8,Regular,Cabotaje,Despegue,SAZN,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,8,Regular,Cabotaje,Despegue,SAZS,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Vuelo Privado con Matrícula Nacional,N/A,Despegue,SADF,N/A,N/A,BEECHCRAFT BE33
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAME,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAVC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAWH,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Despegue,SAEZ,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SAWH,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAEZ,SANT,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,9,Regular,Cabotaje,Despegue,SAEZ,SAZS,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,9,Regular,Cabotaje,Despegue,SASA,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Aterrizaje,SAZN,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Despegue,SAZS,SAEZ,Flybondi,BOEING B-737
01/01/2021,9,Regular,Cabotaje,Despegue,SAZS,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,No Regular,Internacional,Aterrizaje,KMIA,SAEZ,LATAM,BOEING B-767
01/01/2021,10,Vuelo Privado con Matrícula Nacional,N/A,Aterrizaje,N/A,SACO,N/A,PIPER PA-28
01/01/2021,10,Regular,Cabotaje,Despegue,SACO,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SAEZ,SAVT,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,10,Regular,Cabotaje,Despegue,SAME,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SANT,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,10,Regular,Cabotaje,Aterrizaje,SASJ,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,10,Regular,Cabotaje,Despegue,SAVC,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Aterrizaje,SAWC,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SAWH,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SAWH,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Aterrizaje,SAZS,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,10,Regular,Cabotaje,Despegue,SAZS,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,11,Regular,Cabotaje,Aterrizaje,SACO,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,11,Regular,Cabotaje,Aterrizaje,SAEZ,SAWC,Aerolíneas Argentinas,BOEING B-737
01/01/2021,11,Regular,Internacional,Despegue,SAEZ,SCEL,LATAM,AIRBUS A-320
01/01/2021,11,Regular,Cabotaje,Aterrizaje,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,11,Regular,Cabotaje,Aterrizaje,SAEZ,SAZS,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,11,Regular,Cabotaje,Despegue,SAEZ,SAVV,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,11,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,SAFR,SACO,N/A,BEECHCRAFT BE20
01/01/2021,11,Regular,Cabotaje,Despegue,SAZM,SACO,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,11,Regular,Cabotaje,Aterrizaje,SAZS,SAEZ,Flybondi,BOEING B-737
01/01/2021,11,Regular,Internacional,Aterrizaje,SCEL,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,No Regular,Cabotaje,Aterrizaje,AR-0238,SAZS,N/A,CESSNA C-337
01/01/2021,12,Vuelo Privado con Matrícula Nacional,N/A,Aterrizaje,N/A,SADF,N/A,BEECHCRAFT BE33
01/01/2021,12,Regular,Cabotaje,Despegue,SACO,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,12,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SADF,SA04,N/A,BEECHCRAFT BE30
01/01/2021,12,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SADF,SAZY,N/A,GULFSTREAM AEROSPACE GLF5
01/01/2021,12,Regular,Internacional,Despegue,SAEZ,EHAM,KLM,BOEING B-777
01/01/2021,12,Regular,Cabotaje,Despegue,SAEZ,SARE,Aerolíneas Argentinas,BOEING B-737
01/01/2021,12,No Regular,Internacional,Despegue,SAEZ,SCEL,LATAM,BOEING B-767
01/01/2021,12,Regular,Cabotaje,Despegue,SAEZ,SAZN,Flybondi,BOEING B-737
01/01/2021,12,Regular,Cabotaje,Aterrizaje,SAEZ,SAVT,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Cabotaje,Despegue,SAEZ,SANU,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Cabotaje,Despegue,SAEZ,SAAR,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Cabotaje,Aterrizaje,SANT,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Cabotaje,Despegue,SAWC,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,12,Regular,Cabotaje,Aterrizaje,SAZM,SACO,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Cabotaje,Despegue,SAZS,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,12,Regular,Internacional,Aterrizaje,SLVR,SAEZ,Boliviana de Aviacion,BOEING B-737
01/01/2021,13,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,SA04,SADF,N/A,BEECHCRAFT BE30
01/01/2021,13,Vuelo Privado con Matrícula Nacional,N/A,Despegue,SADF,N/A,N/A,BEECHCRAFT BE20
01/01/2021,13,Regular,Cabotaje,Aterrizaje,SAEZ,SARE,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Cabotaje,Despegue,SAEZ,SARP,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Cabotaje,Despegue,SAEZ,SAME,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Internacional,Despegue,SAEZ,SBGL,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Cabotaje,Despegue,SAEZ,SARI,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Cabotaje,Aterrizaje,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,13,Regular,Cabotaje,Aterrizaje,SAEZ,SAAR,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,13,Regular,Cabotaje,Despegue,SAVT,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,13,Regular,Cabotaje,Despegue,SAZM,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,13,No Regular,Cabotaje,Despegue,SAZS,AR-0238,N/A,CESSNA C-337
01/01/2021,14,Regular,Cabotaje,Despegue,SAAR,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,14,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SACO,SAFR,N/A,BEECHCRAFT BE20
01/01/2021,14,Regular,Cabotaje,Despegue,SACO,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,14,No Regular,Cabotaje,Aterrizaje,SADF,SAZY,N/A,GULFSTREAM AEROSPACE GLF5
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAEZ,SARP,Aerolíneas Argentinas,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAEZ,SAME,Aerolíneas Argentinas,BOEING B-737
01/01/2021,14,Regular,Internacional,Despegue,SAEZ,SLVR,Boliviana de Aviacion,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAEZ,SAWH,Aerolíneas Argentinas,AIRBUS A-330
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAEZ,SAZN,Flybondi,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Despegue,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Despegue,SAEZ,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAEZ,SANU,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,14,Regular,Cabotaje,Despegue,SARE,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Despegue,SAZS,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,14,Regular,Cabotaje,Aterrizaje,SAZS,SACO,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,AR-0391,SAZM,N/A,CESSNA C-182
01/01/2021,15,Regular,Cabotaje,Aterrizaje,SACO,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Regular,Cabotaje,Despegue,SACO,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Regular,Cabotaje,Despegue,SAEZ,SAZN,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Despegue,SAEZ,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Despegue,SAEZ,SAVT,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Internacional,Despegue,SAEZ,SBGR,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Regular,Cabotaje,Aterrizaje,SAEZ,SACO,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Aterrizaje,SAEZ,SARI,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Despegue,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Aterrizaje,SAEZ,SAZM,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Regular,Cabotaje,Despegue,SANU,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,15,Regular,Cabotaje,Despegue,SARP,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,15,Regular,Cabotaje,Despegue,SAZN,SAEZ,Flybondi,BOEING B-737
01/01/2021,15,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,SAZR,SAZY,N/A,AEROSTAR M20P
01/01/2021,15,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,SAZR,SAZY,N/A,AEROSTAR M20P
01/01/2021,15,No Regular,Cabotaje,Despegue,SAZY,SADF,N/A,GULFSTREAM AEROSPACE GLF5
01/01/2021,15,Regular,Internacional,Aterrizaje,SBGR,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,16,Vuelo Privado con Matrícula Nacional,N/A,Aterrizaje,N/A,SADF,N/A,BEECHCRAFT BE20
01/01/2021,16,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SACO,SARC,N/A,PIPER PA-28
01/01/2021,16,Regular,Cabotaje,Aterrizaje,SAEZ,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,16,Regular,Cabotaje,Despegue,SAEZ,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,16,Regular,Cabotaje,Despegue,SAEZ,SAME,Aerolíneas Argentinas,BOEING B-737
01/01/2021,16,Regular,Cabotaje,Aterrizaje,SAEZ,SAVV,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,16,Regular,Cabotaje,Despegue,SAME,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,16,Regular,Cabotaje,Despegue,SARI,SAEZ,Aerolíneas Argentinas,BOEING B-737
01/01/2021,16,Regular,Cabotaje,Despegue,SAWH,SAEZ,Aerolíneas Argentinas,AIRBUS A-330
01/01/2021,16,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SAZM,AR-0391,N/A,CESSNA C-182
01/01/2021,16,Regular,Cabotaje,Despegue,SAZM,SAEZ,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,16,Regular,Cabotaje,Despegue,SAZM,SANT,Aerolíneas Argentinas,EMBRAER E-190
01/01/2021,16,Regular,Cabotaje,Aterrizaje,SAZN,SAEZ,Flybondi,BOEING B-737
01/01/2021,17,Vuelo Privado con Matrícula Nacional,Cabotaje,Aterrizaje,AR-0390,SAVV,N/A,PIPER PA-28
01/01/2021,17,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SAAR,SACD,N/A,CESSNA C-240
01/01/2021,17,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SAAR,AR-0455,N/A,BEECHCRAFT BE90
01/01/2021,17,Vuelo Privado con Matrícula Nacional,Cabotaje,Despegue,SAAR,SAEZ,N/A,CESSNA Citation
01/01/2021,17,No Regular,Cabotaje,Aterrizaje,SAAR,SAEZ,N/A,CESSNA Citation
01/01/2021,17,Regular,Cabotaje,Despegue,SACO,SAZS,Aerolíneas Argentinas,BOEING B-737
01/01/2021,17,Regular,Cabotaje,Despegue,SAEZ,SASA,Aerolíneas Argentinas,BOEING B-737
01/01/2021,17,Regular,Cabotaje,Aterrizaje,SAEZ,SAZN,Aerolíneas Argentinas,BOEING B-737
01/01/2021,17,Regular,Cabotaje,Aterrizaje,SAEZ,SAVT,Aerolíneas Argentinas,BOEING B-737
