MODO;EMPRESA;PERIODO;ACTUALIZACION
COLECTIVO;17 DE AGOSTO S.A.;201301;201911
COLECTIVO;17 DE AGOSTO S.A.;201302;201911
COLECTIVO;17 DE AGOSTO S.A.;201303;201911
COLECTIVO;17 DE AGOSTO S.A.;201304;201911
COLECTIVO;17 DE AGOSTO S.A.;201305;201911
COLECTIVO;17 DE AGOSTO S.A.;201306;201911
COLECTIVO;17 DE AGOSTO S.A.;201307;201911
COLECTIVO;17 DE AGOSTO S.A.;201308;201911
COLECTIVO;17 DE AGOSTO S.A.;201309;201911
COLECTIVO;17 DE AGOSTO S.A.;201310;201911
COLECTIVO;17 DE AGOSTO S.A.;201311;201911
COLECTIVO;17 DE AGOSTO S.A.;201312;201911
COLECTIVO;17 DE AGOSTO S.A.;201401;201911
COLECTIVO;17 DE AGOSTO S.A.;201402;201911
COLECTIVO;17 DE AGOSTO S.A.;201403;201911
COLECTIVO;17 DE AGOSTO S.A.;201404;201911
COLECTIVO;17 DE AGOSTO S.A.;201405;201911
COLECTIVO;17 DE AGOSTO S.A.;201406;201911
COLECTIVO;17 DE AGOSTO S.A.;201407;201911
COLECTIVO;17 DE AGOSTO S.A.;201408;201911
COLECTIVO;17 DE AGOSTO S.A.;201409;201911
COLECTIVO;17 DE AGOSTO S.A.;201410;201911
COLECTIVO;17 DE AGOSTO S.A.;201411;201911
COLECTIVO;17 DE AGOSTO S.A.;201412;201911
COLECTIVO;17 DE AGOSTO S.A.;201501;201911
COLECTIVO;17 DE AGOSTO S.A.;201502;201911
COLECTIVO;17 DE AGOSTO S.A.;201503;201911
COLECTIVO;17 DE AGOSTO S.A.;201504;201911
COLECTIVO;17 DE AGOSTO S.A.;201505;201911
COLECTIVO;17 DE AGOSTO S.A.;201506;201911
COLECTIVO;17 DE AGOSTO S.A.;201507;201911
COLECTIVO;17 DE AGOSTO S.A.;201508;201911
COLECTIVO;17 DE AGOSTO S.A.;201509;201911
COLECTIVO;17 DE AGOSTO S.A.;201510;201911
COLECTIVO;17 DE AGOSTO S.A.;201511;201911
COLECTIVO;17 DE AGOSTO S.A.;201512;201911
COLECTIVO;17 DE AGOSTO S.A.;201601;201911
COLECTIVO;17 DE AGOSTO S.A.;201602;201911
COLECTIVO;17 DE AGOSTO S.A.;201603;201911
COLECTIVO;17 DE AGOSTO S.A.;201604;201911
COLECTIVO;17 DE AGOSTO S.A.;201605;201911
COLECTIVO;17 DE AGOSTO S.A.;201606;201911
COLECTIVO;17 DE AGOSTO S.A.;201607;201911
COLECTIVO;17 DE AGOSTO S.A.;201608;201911
COLECTIVO;17 DE AGOSTO S.A.;201609;201911
COLECTIVO;17 DE AGOSTO S.A.;201610;201911
COLECTIVO;17 DE AGOSTO S.A.;201611;201911
COLECTIVO;17 DE AGOSTO S.A.;201612;201911
COLECTIVO;17 DE AGOSTO S.A.;201701;201911
COLECTIVO;17 DE AGOSTO S.A.;201702;201911
COLECTIVO;17 DE AGOSTO S.A.;201703;201911
COLECTIVO;17 DE AGOSTO S.A.;201704;201911
COLECTIVO;17 DE AGOSTO S.A.;201705;201911
COLECTIVO;17 DE AGOSTO S.A.;201706;201911
COLECTIVO;17 DE AGOSTO S.A.;201707;201911
COLECTIVO;17 DE AGOSTO S.A.;201708;201911
COLECTIVO;17 DE AGOSTO S.A.;201709;201911
COLECTIVO;17 DE AGOSTO S.A.;201710;201911
COLECTIVO;17 DE AGOSTO S.A.;201711;201911
COLECTIVO;17 DE AGOSTO S.A.;201712;201911
COLECTIVO;17 DE AGOSTO S.A.;201801;201911
COLECTIVO;17 DE AGOSTO S.A.;201802;201911
COLECTIVO;17 DE AGOSTO S.A.;201803;201911
COLECTIVO;17 DE AGOSTO S.A.;201804;201911
COLECTIVO;17 DE AGOSTO S.A.;201805;201911
COLECTIVO;17 DE AGOSTO S.A.;201806;201911
COLECTIVO;17 DE AGOSTO S.A.;201807;201911
COLECTIVO;17 DE AGOSTO S.A.;201808;201911
COLECTIVO;17 DE AGOSTO S.A.;201809;201911
COLECTIVO;17 DE AGOSTO S.A.;201810;201911
COLECTIVO;17 DE AGOSTO S.A.;201811;201911
COLECTIVO;17 DE AGOSTO S.A.;201812;201911
COLECTIVO;17 DE AGOSTO S.A.;201901;201911
COLECTIVO;17 DE AGOSTO S.A.;201902;201911
COLECTIVO;17 DE AGOSTO S.A.;201903;201911
COLECTIVO;17 DE AGOSTO S.A.;201904;201911
COLECTIVO;17 DE AGOSTO S.A.;201905;201911
COLECTIVO;17 DE AGOSTO S.A.;201906;201911
COLECTIVO;17 DE AGOSTO S.A.;201907;201911
COLECTIVO;17 DE AGOSTO S.A.;201908;201911
COLECTIVO;17 DE AGOSTO S.A.;201909;201911
COLECTIVO;17 DE AGOSTO S.A.;201910;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201301;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201302;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201303;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201304;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201305;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201306;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201307;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201308;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201309;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201310;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201311;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201312;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201401;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201402;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201403;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201404;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201405;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201406;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201407;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201408;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201409;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201410;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201411;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201412;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201501;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201502;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201503;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201504;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201505;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201506;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201507;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201508;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201509;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201510;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201511;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201512;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201601;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201602;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201603;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201604;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201605;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201606;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201607;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201608;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201609;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201610;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201611;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201612;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201701;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201702;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201703;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201704;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201705;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201706;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201707;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201708;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201709;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201710;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201711;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201712;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201801;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201802;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201803;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201804;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201805;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201806;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201807;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201808;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201809;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201810;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201811;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201812;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201901;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201902;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201903;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201904;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201905;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201906;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201907;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201908;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201909;201911
COLECTIVO;4 DE SEPTIEMBRE S.A.T.C.P.;201910;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201301;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201302;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201303;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201304;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201305;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201306;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201307;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201308;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201309;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201310;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201311;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201312;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201401;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201402;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201403;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201404;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201405;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201406;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201407;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201408;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201409;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201410;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201411;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201412;201911
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201501;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201502;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201503;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201504;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201505;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201506;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201507;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201508;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201509;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201510;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201511;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201512;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201601;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201602;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201603;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201604;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201605;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201606;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201607;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201608;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201609;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201610;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201611;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201612;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201701;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201702;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201703;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201704;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201705;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201706;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201707;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201708;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201709;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201710;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201711;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201712;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201801;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201802;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201803;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201804;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201805;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201806;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201807;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201808;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201809;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201810;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201811;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201812;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201901;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201902;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201903;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201904;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201905;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201906;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201907;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201908;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201909;
COLECTIVO;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;201910;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201301;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201302;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201303;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201304;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201305;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201306;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201307;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201308;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201309;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201310;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201311;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201312;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201401;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201402;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201403;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201404;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201405;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201406;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201407;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201408;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201409;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201410;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201411;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201412;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201501;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201502;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201503;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201504;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201505;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201506;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201507;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201508;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201509;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201510;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201511;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201512;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201601;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201602;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201603;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201604;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201605;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201606;
COLECTIVO;ALMAFUERTE S.A.T.A.C.I.;201607;
