anio;jurisdiccion;Empresa;linea
09/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 622"
09/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 628"
09/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";"LINEA 514"
09/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 553 BSAS"
09/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 540 BSAS"
09/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 550 BSAS"
09/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 552 BSAS"
09/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";"LINEA 523"
09/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 585"
09/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 586"
09/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 504B"
09/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 507B"
09/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 670"
09/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";"LINEA 505 D"
09/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"LINEA 6JUL"
09/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 522"
09/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 527"
09/2019;MUNICIPAL;"EMPRESA 501 SA";"LINEA 501 A"
09/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L.";"LINEA 524"
09/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 710"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 521 AMBA ALMIRANTE BROWN"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 506 AMBA ALMIRANTE BROWN"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 505 AMBA ALMIRANTE BROWN"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";"LINEA 749"
