anio;jurisdiccion;Empresa;linea
09/2019;PROVINCIAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 218"
09/2019;PROVINCIAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 284"
09/2019;PROVINCIAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 325"
09/2019;PROVINCIAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 378"
09/2019;PROVINCIAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";"LINEA 203"
09/2019;PROVINCIAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";"LINEA 283"
09/2019;PROVINCIAL;"CIA LA PAZ AMADOR MOURE SACIFIYA";"LINEA 277"
09/2019;PROVINCIAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 293B"
09/2019;PROVINCIAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 281"
09/2019;PROVINCIAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 239A"
09/2019;PROVINCIAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 278"
09/2019;PROVINCIAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 323"
09/2019;PROVINCIAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 237A"
09/2019;PROVINCIAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 276"
09/2019;PROVINCIAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 310"
09/2019;PROVINCIAL;"COMPAÑIA NOROESTE S.A.T.";"LINEA 343"
09/2019;PROVINCIAL;"COMPAÑIA NOROESTE S.A.T.";"LINEA 304"
09/2019;PROVINCIAL;"COMPAÑIA NOROESTE S.A.T.";"LINEA 289"
09/2019;PROVINCIAL;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";"LINEA 326"
09/2019;PROVINCIAL;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";"LINEA 386"
09/2019;PROVINCIAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 264"
09/2019;PROVINCIAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 371"
09/2019;PROVINCIAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 445"
09/2019;PROVINCIAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 404"
09/2019;PROVINCIAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 200"
09/2019;PROVINCIAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";"LINEA 449"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 463"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 461"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 443A"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 390"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 303"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 302"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 244"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 464"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 320"
09/2019;PROVINCIAL;"EMPRESA DEL OESTE SAT";"LINEA 462"
09/2019;PROVINCIAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 441"
09/2019;PROVINCIAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 443"
09/2019;PROVINCIAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 395"
09/2019;PROVINCIAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 269"
09/2019;PROVINCIAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 236"
09/2019;PROVINCIAL;"EMPRESA LINEA SIETE SAT";"LINEA 307"
09/2019;PROVINCIAL;"EMPRESA MONTE GRANDE S.A. LINEA 501";"LINEA 394"
09/2019;PROVINCIAL;"EMPRESA MONTE GRANDE S.A. LINEA 501";"LINEA 245"
09/2019;PROVINCIAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 414"
09/2019;PROVINCIAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 215"
09/2019;PROVINCIAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 225"
09/2019;PROVINCIAL;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";"LINEA 222"
09/2019;PROVINCIAL;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";"LINEA 306"
09/2019;PROVINCIAL;"EXPRESO GENERAL SARMIENTO S.A.";"LINEA 448"
09/2019;PROVINCIAL;"EXPRESO NUEVE DE JULIO S.A.";"LINEA 247"
09/2019;PROVINCIAL;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";"LINEA 391"
09/2019;PROVINCIAL;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";"LINEA 379"
09/2019;PROVINCIAL;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";"LINEA 341"
09/2019;PROVINCIAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 239B"
09/2019;PROVINCIAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 266"
09/2019;PROVINCIAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 436"
09/2019;PROVINCIAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 263A"
09/2019;PROVINCIAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 293A"
09/2019;PROVINCIAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 257"
09/2019;PROVINCIAL;"FUERTE BARRAGAN S.A.T.I.C.I.";"LINEA 275"
09/2019;PROVINCIAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 271"
09/2019;PROVINCIAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 299"
09/2019;PROVINCIAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 373"
09/2019;PROVINCIAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 384"
09/2019;PROVINCIAL;"INTERISLEÑA S.A.C.I.";"LINEA 452 LANCHAS"
09/2019;PROVINCIAL;"LA CABAÑA S.A.";"LINEA 317 BS AS"
09/2019;PROVINCIAL;"LA CABAÑA S.A.";"LINEA 298"
09/2019;PROVINCIAL;"LA CABAÑA S.A.";"LINEA 242"
09/2019;PROVINCIAL;"LA CENTRAL DE ESCOBAR SA";"LINEA 228F"
09/2019;PROVINCIAL;"LA CENTRAL DE ESCOBAR SA";"LINEA 291"
09/2019;PROVINCIAL;"LA NUEVA METROPOL S.A.";"LINEA 365"
09/2019;PROVINCIAL;"LA NUEVA METROPOL S.A.";"LINEA 228A"
09/2019;PROVINCIAL;"LA PRIMERA DE GRAND BOURG S.A.";"LINEA 315"
09/2019;PROVINCIAL;"LA PRIMERA DE GRAND BOURG S.A.";"LINEA 440"
09/2019;PROVINCIAL;"LA PRIMERA DE MARTINEZ S.A";"LINEA 314"
09/2019;PROVINCIAL;"LIBERTADOR SAN MARTIN SAT";"LINEA 392"
09/2019;PROVINCIAL;"LIBERTADOR SAN MARTIN SAT";"LINEA 336"
09/2019;PROVINCIAL;"LIBERTADOR SAN MARTIN SAT";"LINEA 327"
