ID_HEXAGONO;MODO;HORA;OPERACIONES
13026909;BUS;17;17
13026909;BUS;18;6
13033073;BUS;8;4
13033073;BUS;17;11
13033073;BUS;18;1
13033074;BUS;8;1
13033074;BUS;17;6
13039237;BUS;8;3
13039237;BUS;17;10
13063892;BUS;16;2
13094711;BUS;17;1
13100874;BUS;17;1
13107038;BUS;17;1
13113201;BUS;17;1
13156347;BUS;8;2
13162510;BUS;8;1
13181002;BUS;8;1
13205657;BUS;7;1
13224147;BUS;7;3
13224147;BUS;8;1
13224147;BUS;15;1
13224147;BUS;17;1
13230308;BUS;5;1
13230308;BUS;7;9
13230308;BUS;8;3
13230308;BUS;9;1
13230308;BUS;11;2
13230308;BUS;13;8
13230308;BUS;15;2
13230308;BUS;16;6
13230308;BUS;17;1
13230308;BUS;18;13
13230308;BUS;21;1
13230308;BUS;23;3
13230309;BUS;5;1
13230309;BUS;7;3
13230309;BUS;8;1
13230309;BUS;9;2
13230309;BUS;11;2
13230309;BUS;13;2
13230309;BUS;15;1
13230309;BUS;17;5
13230309;BUS;20;1
13230310;BUS;5;2
13230310;BUS;8;1
13230310;BUS;11;3
13230310;BUS;13;2
13230310;BUS;15;5
13230310;BUS;17;2
13230311;BUS;8;1
13230311;BUS;11;2
13230311;BUS;18;4
13230311;BUS;20;1
13236471;BUS;5;12
13236471;BUS;7;10
13236471;BUS;8;18
13236471;BUS;9;11
13236471;BUS;11;13
13236471;BUS;13;14
13236471;BUS;15;23
13236471;BUS;16;10
13236471;BUS;17;16
13236471;BUS;18;7
13236471;BUS;20;6
13236471;BUS;21;1
13236475;BUS;11;2
13242640;BUS;15;1
13242640;BUS;17;1
13242640;BUS;23;1
13254969;BUS;15;1
13261132;BUS;9;1
13261132;BUS;13;1
13261132;BUS;18;1
13273461;BUS;17;1
13285790;BUS;18;2
13298119;BUS;7;1
13298119;BUS;11;1
13304284;BUS;17;1
13310448;BUS;13;1
13322777;BUS;7;1
13322777;BUS;13;1
13328942;BUS;11;1
13335106;BUS;11;1
13341271;BUS;11;1
13341272;BUS;7;1
13353601;BUS;8;2
13372093;BUS;7;1
13378258;BUS;7;1
13378258;BUS;9;1
13378258;BUS;11;1
13378258;BUS;14;1
13378258;BUS;15;3
13378258;BUS;16;1
13378258;BUS;17;3
13378258;BUS;18;3
13384422;BUS;16;2
13390587;BUS;15;1
13402915;BUS;8;1
13409079;BUS;8;1
13415243;BUS;10;1
13427572;BUS;8;1
13458392;BUS;11;1
13458392;BUS;15;2
13464557;BUS;11;1
13470720;BUS;10;1
13470720;BUS;11;2
13495376;BUS;11;1
13495376;BUS;17;1
13495376;BUS;18;1
13501541;BUS;12;1
13507704;BUS;8;1
13507704;BUS;10;1
13507704;BUS;15;1
13507704;BUS;16;2
13507704;BUS;19;1
13513869;BUS;8;1
13513869;BUS;17;1
13513869;BUS;18;1
13520032;BUS;10;1
13526197;BUS;19;2
13532360;BUS;6;1
13532361;BUS;14;1
13532361;BUS;16;2
13538525;BUS;18;2
13544689;BUS;18;2
13563181;BUS;12;1
13569345;BUS;8;1
13569345;BUS;9;1
13575509;BUS;10;1
13587838;BUS;15;2
13600165;BUS;10;1
13606328;BUS;20;1
13618617;BUS;5;3
13618617;BUS;10;3
